word	file	lines
Rost's	05_exploratory_to_explanatory.Rmd	16
RStudio	02_ggplot2.Rmd	246,385
RStudio	03_customization.Rmd	176,479
RStudio	04_saving_plots.Rmd	14
RStudio	05_exploratory_to_explanatory.Rmd	457
RStudio	07_tables_in_R.Rmd	78,107,178
RStudio	09_advanced_data_visualization.Rmd	49,54,69,114,162
RStudio	10_dataviz_project.Rmd	31,42,46,48,58,262,366
RStudios	09_advanced_data_visualization.Rmd	52
SEV	05_exploratory_to_explanatory.Rmd	465
SG	03_customization.Rmd	481
sHU	07_tables_in_R.Rmd	186
sig	07_tables_in_R.Rmd	134,143
sNp	05_exploratory_to_explanatory.Rmd	465
solarized	03_customization.Rmd	433,446
specifying	02_ggplot2.Rmd	242
sqju	02_ggplot2.Rmd	398
StackOverlow	10_dataviz_project.Rmd	406
stata	03_customization.Rmd	433,446
summarization	02_ggplot2.Rmd	196
summarizin	06_datatables.Rmd	156
svg	04_saving_plots.Rmd	32
swf	09_advanced_data_visualization.Rmd	116
SYKm	05_exploratory_to_explanatory.Rmd	459
tablesinR	07_tables_in_R.Rmd	127
tCjB	03_customization.Rmd	481
tex	04_saving_plots.Rmd	32
TIz	02_ggplot2.Rmd	415
TmKs	02_ggplot2.Rmd	420
tOFR	02_ggplot2.Rmd	415
TtKo	07_tables_in_R.Rmd	180
TtLR	02_ggplot2.Rmd	393
tuCa	05_exploratory_to_explanatory.Rmd	470
tufte	03_customization.Rmd	433,446
TUhO	03_customization.Rmd	502
Txqb	07_tables_in_R.Rmd	196
TYDO	07_tables_in_R.Rmd	180
Ub	02_ggplot2.Rmd	387
UPrE	02_ggplot2.Rmd	410
UQr	03_customization.Rmd	507
uTH	02_ggplot2.Rmd	398
UUt	03_customization.Rmd	487
uZIS	02_ggplot2.Rmd	415
VdRk	02_ggplot2.Rmd	415
vjust	05_exploratory_to_explanatory.Rmd	328
vLQi	03_customization.Rmd	502
Vo	02_ggplot2.Rmd	420
vVRv	07_tables_in_R.Rmd	186
VVS	02_ggplot2.Rmd	80
vW	07_tables_in_R.Rmd	180
WACM	05_exploratory_to_explanatory.Rmd	465
wAn	07_tables_in_R.Rmd	191
wfRb	07_tables_in_R.Rmd	191
Wickham	02_ggplot2.Rmd	261
wM	07_tables_in_R.Rmd	191
wmf	04_saving_plots.Rmd	32
WTF	01_good_plots.Rmd	246
wtiV	03_customization.Rmd	481
WXNF	05_exploratory_to_explanatory.Rmd	459
Xavu	07_tables_in_R.Rmd	186
XB	05_exploratory_to_explanatory.Rmd	476
xeCg	02_ggplot2.Rmd	415
xGo	05_exploratory_to_explanatory.Rmd	470
xIKJ	05_exploratory_to_explanatory.Rmd	459
xnW	02_ggplot2.Rmd	420
xr	02_ggplot2.Rmd	404
xRrF	02_ggplot2.Rmd	410
xU	03_customization.Rmd	481
